zip,county_name,2020_mean_fmr,2019_mean_fmr,2018_mean_fmr,2017_mean_fmr,2016_mean_fmr,2015_mean_fmr,2014_mean_fmr,2013_mean_fmr,2012_mean_fmr,2011_mean_fmr
32934,Brevard County FL,1179.8,1098,1120.2,973.8,961.8,958.2,940.6,953.8,905.8,978
32935,Brevard County FL,1179.8,1098,1120.2,973.8,961.8,958.2,940.6,953.8,905.8,978
32937,Brevard County FL,1179.8,1098,1120.2,973.8,961.8,958.2,940.6,953.8,905.8,978
32940,Brevard County FL,1179.8,1098,1120.2,973.8,961.8,958.2,940.6,953.8,905.8,978
32948,Indian River County FL,1111.4,1055.8,986.4,943.6,916.4,845,889.2,897.4,851.2,948.4
32949,Brevard County FL,1179.8,1098,1120.2,973.8,961.8,958.2,940.6,953.8,905.8,978
32950,Brevard County FL,1179.8,1098,1120.2,973.8,961.8,958.2,940.6,953.8,905.8,978
32951,Brevard County FL,1179.8,1098,1120.2,973.8,961.8,958.2,940.6,953.8,905.8,978
32952,Brevard County FL,1179.8,1098,1120.2,973.8,961.8,958.2,940.6,953.8,905.8,978
32953,Brevard County FL,1179.8,1098,1120.2,973.8,961.8,958.2,940.6,953.8,905.8,978
32955,Brevard County FL,1179.8,1098,1120.2,973.8,961.8,958.2,940.6,953.8,905.8,978
32958,Indian River County FL,1111.4,1055.8,986.4,943.6,916.4,845,889.2,897.4,851.2,948.4
32960,Indian River County FL,1111.4,1055.8,986.4,943.6,916.4,845,889.2,897.4,851.2,948.4
32962,Indian River County FL,1111.4,1055.8,986.4,943.6,916.4,845,889.2,897.4,851.2,948.4
32963,Indian River County FL,1111.4,1055.8,986.4,943.6,916.4,845,889.2,897.4,851.2,948.4
32966,Indian River County FL,1111.4,1055.8,986.4,943.6,916.4,845,889.2,897.4,851.2,948.4
32967,Indian River County FL,1111.4,1055.8,986.4,943.6,916.4,845,889.2,897.4,851.2,948.4
32968,Indian River County FL,1111.4,1055.8,986.4,943.6,916.4,845,889.2,897.4,851.2,948.4
32976,Brevard County FL,1179.8,1098,1120.2,973.8,961.8,958.2,940.6,953.8,905.8,978
33004,Broward County FL,1731.6,1630.6,1564,1469,1396.8,1411.8,1408.6,1381.8,1356.8,1468.6
33009,Broward County FL,1731.6,1630.6,1564,1469,1396.8,1411.8,1408.6,1381.8,1356.8,1468.6
33010,Miami-Dade County FL,1755.8,1568,1451.4,1389.4,1331.4,1254.2,1258.4,1211,1198.4,1261.2
33012,Miami-Dade County FL,1755.8,1568,1451.4,1389.4,1331.4,1254.2,1258.4,1211,1198.4,1261.2
33014,Miami-Dade County FL,1755.8,1568,1451.4,1389.4,1331.4,1254.2,1258.4,1211,1198.4,1261.2
33015,Miami-Dade County FL,1755.8,1568,1451.4,1389.4,1331.4,1254.2,1258.4,1211,1198.4,1261.2
33016,Miami-Dade County FL,1755.8,1568,1451.4,1389.4,1331.4,1254.2,1258.4,1211,1198.4,1261.2
33018,Miami-Dade County FL,1755.8,1568,1451.4,1389.4,1331.4,1254.2,1258.4,1211,1198.4,1261.2
33019,Broward County FL,1731.6,1630.6,1564,1469,1396.8,1411.8,1408.6,1381.8,1356.8,1468.6
